Region ID,State Name,Region Name,Average House 2020
6181,NY,New York,"$535,891.61 "
12447,CA,Los Angeles,"$713,112.18 "
39051,TX,Houston,"$192,784.58 "
17426,IL,Chicago,"$226,676.80 "
6915,TX,San Antonio,"$192,655.20 "
40326,AZ,Phoenix,"$280,634.45 "
13271,PA,Philadelphia,"$176,950.27 "
18959,NV,Las Vegas,"$304,109.62 "
54296,CA,San Diego,"$655,711.79 "
38128,TX,Dallas,"$222,699.22 "
10221,TX,Austin,"$403,375.11 "
33839,CA,San Jose,"$996,146.09 "
25290,FL,Jacksonville,"$195,052.28 "
24043,NC,Charlotte,"$254,774.09 "
20330,CA,San Francisco,"$1,266,652.80 "
32149,IN,Indianapolis,"$153,276.55 "
18172,TX,Fort Worth,"$227,083.23 "
7481,AZ,Tucson,"$218,919.31 "
10920,OH,Columbus,"$168,951.67 "
12455,KY,Louisville,"$180,636.32 "
13121,FL,Orlando,"$260,217.22 "
16037,WA,Seattle,"$728,021.05 "
13373,OR,Portland,"$455,633.60 "
11093,CO,Denver,"$457,879.29 "
17933,TX,El Paso,"$142,612.90 "
41568,DC,Washington,"$586,893.33 "
44269,MA,Boston,"$602,130.15 "
17762,MI,Detroit,"$35,146.69 "
6118,TN,Nashville,"$293,738.00 "
12700,FL,Miami,"$358,406.41 "
20288,CA,Sacramento,"$358,219.52 "
32811,TN,Memphis,"$98,228.57 "
3523,MD,Baltimore,"$128,882.76 "
26529,PA,Pittsburgh,"$172,081.11 "
18203,CA,Fresno,"$266,195.11 "
5976,WI,Milwaukee,"$131,988.36 "
40152,NE,Omaha,"$205,945.41 "
33225,OK,Oklahoma City,"$140,999.79 "
23429,NM,Albuquerque,"$228,145.63 "
19331,AZ,Mesa,"$306,466.23 "
54047,NC,Raleigh,"$299,779.47 "
4172,CO,Colorado Springs,"$354,916.48 "
37211,GA,Atlanta,"$287,967.79 "
17222,NY,Buffalo,"$148,998.88 "
18795,MO,Kansas City,"$162,604.97 "
46298,NY,Long Beach,"$602,005.60 "
41176,CA,Tampa,"$253,135.07 "
41515,FL,Virginia Beach,"$295,756.30 "
13072,VA,Oakland,"$732,123.80 "
20859,CA,Tulsa,"$131,807.90 "
5983,OK,Minneapolis,"$278,556.90 "
16846,MN,Aurora,"$389,138.00 "
3506,CO,Bakersfield,"$276,643.91 "
18615,CA,Honolulu,"$680,267.46 "
50763,HI,Arlington,"$245,758.38 "
19594,TX,New Orleans,"$218,265.14 "
25428,LA,Knoxville,"$204,729.91 "
24115,TN,Cleveland,"$65,859.36 "
44055,OH,Baton Rouge,"$170,363.63 "
47401,LA,Riverside,"$447,570.96 "
7929,CA,Wichita,"$137,848.50 "
16764,KS,Anaheim,"$638,987.57 "
4099,CA,Cincinnati,"$168,077.38 "
47568,OH,Santa Ana,"$572,927.74 "
48215,CA,Vancouver,"$378,612.51 "
4174,WA,Columbia,"$150,224.04 "
12562,SC,Marietta,"$310,974.96 "
38025,GA,Corpus Christi,"$170,308.15 "
11722,TX,Greensboro,"$165,410.41 "
25574,NC,Lexington,"$204,559.18 "
18170,KY,Fort Wayne,"$153,811.58 "
19533,IN,Naples,"$356,342.11 "
7081,FL,Silver Spring,"$428,874.31 "
7266,MD,Stockton,"$328,270.98 "
6891,CA,Saint Louis,"$118,920.42 "
20313,MO,Saint Paul,"$232,246.48 "
11867,MN,Henderson,"$361,149.92 "
24457,NV,Durham,"$265,989.11 "
26922,NC,Saint Petersburg,"$223,838.98 "
34303,FL,Toledo,"$74,599.64 "
23482,OH,Anchorage,"$335,135.22 "
47945,AK,Tallahassee,"$198,175.24 "
32503,FL,Lincoln,"$207,976.75 "
53915,NE,Plano,"$385,835.09 "
12970,TX,Newark,"$291,273.57 "
13478,NJ,Reno,"$401,322.43 "
25934,NV,Modesto,"$330,033.75 "
17384,CA,Chandler,"$374,257.20 "
53060,AZ,Lubbock,"$153,616.63 "
20604,TX,Spokane,"$285,484.28 "
41760,WA,WinstonNaNSalem,"$155,660.83 "
25320,NC,Jersey City,"$464,132.12 "
5573,NJ,Lawrenceville,"$263,962.37 "
51405,GA,Chula Vista,"$599,373.89 "
20328,CA,San Bernardino,"$325,632.23 "
398849,CA,Madison,"$293,644.23 "
18298,WI,Glendale,"$281,518.73 "
32900,AZ,Mobile,"$126,894.91 "
52650,AL,Irvine,"$875,885.84 "
3737,CA,Boise,"$377,361.85 "
31614,ID,Fort Myers,"$238,788.20 "
25104,FL,Hialeah,"$289,551.90 "
7204,FL,Spring,"$235,087.94 "
53856,TX,Pensacola,"$167,740.50 "
54346,FL,Scottsdale,"$524,975.13 "
4888,AZ,Gilbert,"$401,324.39 "
52001,AZ,Fayetteville,"$124,535.70 "
20362,NC,Sarasota,"$291,800.98 "
6210,FL,Norfolk,"$203,622.05 "
26187,VA,North Las Vegas,"$291,200.89 "
44564,NV,Chesapeake,"$289,491.19 "
52893,VA,Laredo,"$161,467.72 "
11540,TX,Fremont,"$1,068,601.75 "
12065,CA,Irving,"$258,180.41 "
18251,TX,Garland,"$225,835.08 "
30258,TX,Arlington,"$705,291.90 "
24741,VA,Fontana,"$452,815.67 "
24960,CA,Greenville,"$200,929.11 "
11671,SC,Grand Rapids,"$197,197.76 "
6752,MI,Richmond,"$238,325.51 "
7222,VA,Springfield,"$156,386.98 "
44282,MO,Bradenton,"$245,146.68 "
53673,FL,Ocala,"$172,575.28 "
54311,FL,Santa Clarita,"$584,264.58 "
10417,CA,Birmingham,"$63,190.52 "
13150,AL,Oxnard,"$546,777.76 "
10477,CA,Boca Raton,"$359,018.59 "
17759,FL,Des Moines,"$149,964.75 "
26967,IA,Santa Rosa,"$597,754.73 "
24225,CA,Corona,"$541,256.61 "
14701,CA,Woodbridge,"$385,442.22 "
16753,VA,Amarillo,"$142,750.02 "
27362,TX,Tacoma,"$377,967.78 "
52998,WA,Little Rock,"$148,507.62 "
24821,AR,Gainesville,"$205,939.27 "
21320,FL,Wilmington,"$262,102.17 "
40897,NC,Shreveport,"$104,618.22 "
6285,LA,Oceanside,"$569,120.94 "
33501,CA,Port Saint Lucie,"$264,711.97 "
10071,FL,Alexandria,"$536,321.91 "
10215,VA,Aurora,"$193,618.41 "
32931,IL,Montgomery,"$95,764.71 "
38438,AL,Eugene,"$356,127.97 "
25981,OR,Moreno Valley,"$393,376.01 "
7353,CA,Syracuse,"$121,049.46 "
45457,NY,Glendale,"$841,650.70 "
6909,CA,Salt Lake City,"$403,052.85 "
34937,UT,Yonkers,"$511,814.48 "
4764,NY,Fort Collins,"$443,311.92 "
10210,CO,Augusta,"$116,748.51 "
12014,GA,Huntsville,"$174,611.45 "
30141,AL,Akron,"$77,336.63 "
37837,OH,Chattanooga,"$188,123.54 "
47584,TN,Savannah,"$178,708.47 "
25218,GA,Huntington Beach,"$882,689.73 "
41279,CA,Trenton,"$185,535.66 "
18847,NJ,Kissimmee,"$246,623.95 "
54288,FL,Salinas,"$533,913.85 "
19523,CA,Murfreesboro,"$281,585.93 "
18518,TN,Hayward,"$677,458.45 "
30381,CA,Beaverton,"$428,298.17 "
40202,OR,Overland Park,"$330,672.84 "
51167,KS,Brownsville,"$104,081.85 "
32783,TX,McKinney,"$369,982.60 "
6696,TX,Reading,"$151,363.17 "
20317,PA,Salem,"$321,478.45 "
14634,OR,Whittier,"$598,701.83 "
30742,CA,Cape Coral,"$247,347.05 "
31821,FL,Grand Prairie,"$238,164.21 "
47958,TX,Tempe,"$339,338.35 "
13108,AZ,Ontario,"$473,621.51 "
7087,CA,Sioux Falls,"$235,195.65 "
14724,SD,Worcester,"$279,329.36 "
31471,MA,Evansville,"$132,469.01 "
5534,IN,Lancaster,"$330,423.93 "
4054,CA,Charleston,"$336,024.06 "
31606,SC,Fort Lauderdale,"$346,575.21 "
47426,FL,Rockford,"$96,493.61 "
11335,IL,Erie,"$120,286.45 "
11529,PA,Fredericksburg,"$333,346.56 "
18208,VA,Frisco,"$468,618.13 "
26637,TX,Providence,"$251,724.16 "
11337,RI,Escondido,"$592,366.42 "
24832,CA,Garden Grove,"$663,864.18 "
10843,CA,Clarksville,"$198,641.12 "
41815,TN,York,"$178,112.98 "
38119,PA,Cypress,"$294,725.62 "
40492,TX,Rancho Cucamonga,"$560,882.76 "
40298,CA,Peoria,"$340,824.87 "
5424,AZ,Killeen,"$147,845.87 "
41114,TX,Sugar Land,"$330,634.26 "
17539,TX,Columbus,"$107,380.02 "
40227,GA,Palmdale,"$363,112.09 "
44821,CA,Cumming,"$373,005.09 "
16726,GA,Allentown,"$185,615.48 "
17950,PA,Elk Grove,"$494,207.51 "
38328,CA,Edmond,"$244,890.31 "
38333,OK,El Cajon,"$571,183.05 "
6792,CA,Roanoke,"$175,922.81 "
30559,VA,Boynton Beach,"$280,669.25 "
182023,FL,Henrico,"$261,579.45 "
26140,VA,Newport News,"$193,043.75 "
8097,VA,Ann Arbor,"$381,256.71 "
