Region ID,State Name,Region Name,Average House 2020
6181,NY,New York,"$535,891.61 "
12447,CA,Los Angeles,"$713,112.18 "
39051,TX,Houston,"$192,784.58 "
17426,IL,Chicago,"$226,676.80 "
6915,TX,San Antonio,"$192,655.20 "
18959,NV,Las Vegas,"$304,109.62 "
54296,CA,San Diego,"$655,711.79 "
38128,TX,Dallas,"$222,699.22 "
10221,TX,Austin,"$403,375.11 "
33839,CA,San Jose,"$996,146.09 "
25290,FL,Jacksonville,"$195,052.28 "
24043,NC,Charlotte,"$254,774.09 "
20330,CA,San Francisco,"$1,266,652.80 "
18172,TX,Fort Worth,"$227,083.23 "
10920,OH,Columbus,"$168,951.67 "
13121,FL,Orlando,"$260,217.22 "
16037,WA,Seattle,"$728,021.05 "
13373,OR,Portland,"$455,633.60 "
11093,CO,Denver,"$457,879.29 "
17933,TX,El Paso,"$142,612.90 "
41568,DC,Washington,"$586,893.33 "
44269,MA,Boston,"$602,130.15 "
6118,TN,Nashville,"$293,738.00 "
12700,FL,Miami,"$358,406.41 "
20288,CA,Sacramento,"$358,219.52 "
32811,TN,Memphis,"$98,228.57 "
18203,CA,Fresno,"$266,195.11 "
54047,NC,Raleigh,"$299,779.47 "
4172,CO,Colorado Springs,"$354,916.48 "
17222,NY,Buffalo,"$148,998.88 "
46298,NY,Long Beach,"$602,005.60 "
41176,CA,Tampa,"$253,135.07 "
41515,FL,Virginia Beach,"$295,756.30 "
20859,CA,Tulsa,"$131,807.90 "
16846,MN,Aurora,"$389,138.00 "
3506,CO,Bakersfield,"$276,643.91 "
18615,CA,Honolulu,"$680,267.46 "
50763,HI,Arlington,"$245,758.38 "
19594,TX,New Orleans,"$218,265.14 "
25428,LA,Knoxville,"$204,729.91 "
24115,TN,Cleveland,"$65,859.36 "
44055,OH,Baton Rouge,"$170,363.63 "
47401,LA,Riverside,"$447,570.96 "
7929,CA,Wichita,"$137,848.50 "
4099,CA,Cincinnati,"$168,077.38 "
47568,OH,Santa Ana,"$572,927.74 "
48215,CA,Vancouver,"$378,612.51 "
4174,WA,Columbia,"$150,224.04 "
11722,TX,Greensboro,"$165,410.41 "
25574,NC,Lexington,"$204,559.18 "
7081,FL,Silver Spring,"$428,874.31 "
6891,CA,Saint Louis,"$118,920.42 "
11867,MN,Henderson,"$361,149.92 "
24457,NV,Durham,"$265,989.11 "
26922,NC,Saint Petersburg,"$223,838.98 "
34303,FL,Toledo,"$74,599.64 "
23482,OH,Anchorage,"$335,135.22 "
32503,FL,Lincoln,"$207,976.75 "
12970,TX,Newark,"$291,273.57 "
13478,NJ,Reno,"$401,322.43 "
25934,NV,Modesto,"$330,033.75 "
17384,CA,Chandler,"$374,257.20 "
20604,TX,Spokane,"$285,484.28 "
41760,WA,WinstonNaNSalem,"$155,660.83 "
25320,NC,Jersey City,"$464,132.12 "
5573,NJ,Lawrenceville,"$263,962.37 "
20328,CA,San Bernardino,"$325,632.23 "
398849,CA,Madison,"$293,644.23 "
3737,CA,Boise,"$377,361.85 "
25104,FL,Hialeah,"$289,551.90 "
7204,FL,Spring,"$235,087.94 "
53856,TX,Pensacola,"$167,740.50 "
54346,FL,Scottsdale,"$524,975.13 "
20362,NC,Sarasota,"$291,800.98 "
6210,FL,Norfolk,"$203,622.05 "
44564,NV,Chesapeake,"$289,491.19 "
11540,TX,Fremont,"$1,068,601.75 "
12065,CA,Irving,"$258,180.41 "
18251,TX,Garland,"$225,835.08 "
30258,TX,Arlington,"$705,291.90 "
24960,CA,Greenville,"$200,929.11 "
53673,FL,Ocala,"$172,575.28 "
54311,FL,Santa Clarita,"$584,264.58 "
10417,CA,Birmingham,"$63,190.52 "
10477,CA,Boca Raton,"$359,018.59 "
17759,FL,Des Moines,"$149,964.75 "
24225,CA,Corona,"$541,256.61 "
14701,CA,Woodbridge,"$385,442.22 "
27362,TX,Tacoma,"$377,967.78 "
52998,WA,Little Rock,"$148,507.62 "
21320,FL,Wilmington,"$262,102.17 "
40897,NC,Shreveport,"$104,618.22 "
6285,LA,Oceanside,"$569,120.94 "
33501,CA,Port Saint Lucie,"$264,711.97 "
10071,FL,Alexandria,"$536,321.91 "
32931,IL,Montgomery,"$95,764.71 "
25981,OR,Moreno Valley,"$393,376.01 "
7353,CA,Syracuse,"$121,049.46 "
45457,NY,Glendale,"$841,650.70 "
6909,CA,Salt Lake City,"$403,052.85 "
4764,NY,Fort Collins,"$443,311.92 "
10210,CO,Augusta,"$116,748.51 "
37837,OH,Chattanooga,"$188,123.54 "
47584,TN,Savannah,"$178,708.47 "
41279,CA,Trenton,"$185,535.66 "
18847,NJ,Kissimmee,"$246,623.95 "
54288,FL,Salinas,"$533,913.85 "
19523,CA,Murfreesboro,"$281,585.93 "
18518,TN,Hayward,"$677,458.45 "
30381,CA,Beaverton,"$428,298.17 "
40202,OR,Overland Park,"$330,672.84 "
32783,TX,McKinney,"$369,982.60 "
6696,TX,Reading,"$151,363.17 "
14634,OR,Whittier,"$598,701.83 "
30742,CA,Cape Coral,"$247,347.05 "
31821,FL,Grand Prairie,"$238,164.21 "
47958,TX,Tempe,"$339,338.35 "
7087,CA,Sioux Falls,"$235,195.65 "
31471,MA,Evansville,"$132,469.01 "
4054,CA,Charleston,"$336,024.06 "
47426,FL,Rockford,"$96,493.61 "
11335,IL,Erie,"$120,286.45 "
26637,TX,Providence,"$251,724.16 "
11337,RI,Escondido,"$592,366.42 "
24832,CA,Garden Grove,"$663,864.18 "
10843,CA,Clarksville,"$198,641.12 "
41815,TN,York,"$178,112.98 "
40492,TX,Rancho Cucamonga,"$560,882.76 "
40298,CA,Peoria,"$340,824.87 "
41114,TX,Sugar Land,"$330,634.26 "
17539,TX,Columbus,"$107,380.02 "
44821,CA,Cumming,"$373,005.09 "
38328,CA,Edmond,"$244,890.31 "
6792,CA,Roanoke,"$175,922.81 "
182023,FL,Henrico,"$261,579.45 "
44734,IL,Conroe,"$235,895.65 "
4655,TX,Fairfax,"$598,285.27 "
19892,TX,Pembroke Pines,"$323,737.07 "
31184,FL,Dayton,"$68,380.17 "
26857,OH,Round Rock,"$337,255.19 "
25483,TX,Lakeland,"$191,010.13 "
11817,FL,Harrisburg,"$154,984.72 "
39312,CO,Lafayette,"$174,904.98 "
32179,LA,Jackson,"$45,048.87 "
4521,TX,Edinburg,"$131,206.24 "
47250,TX,Pueblo,"$211,009.08 "
398300,CO,Lansing,"$100,507.18 "
21114,TX,Visalia,"$269,333.03 "
51297,CA,Cary,"$417,028.53 "
40779,NC,Schenectady,"$206,277.08 "
7221,NY,Springfield,"$189,686.15 "
32060,MA,Hollywood,"$288,996.39 "
54626,FL,Sunnyvale,"$1,489,427.63 "
39191,CA,Kansas City,"$119,486.76 "
20008,FL,Pomona,"$468,648.35 "
20555,CA,South Bend,"$111,439.90 "
5201,TX,Homestead,"$256,517.99 "
10918,FL,Columbia,"$199,311.41 "
13480,NY,Renton,"$551,103.06 "
35282,WA,Beaumont,"$117,285.50 "
19873,TX,Paterson,"$293,345.41 "
47570,NJ,Santa Maria,"$443,015.34 "
6183,CA,Newark,"$257,160.97 "
54722,CA,Torrance,"$845,058.63 "
5399,CA,Kent,"$466,617.82 "
3619,WA,Bellevue,"$950,670.22 "
12694,WA,Mesquite,"$207,177.14 "
44879,TX,Decatur,"$220,174.30 "
4626,CO,Everett,"$478,037.85 "
39815,WA,Miramar,"$344,995.35 "
33230,FL,Olathe,"$294,081.83 "
24812,OH,Fullerton,"$695,982.03 "
25818,CA,McAllen,"$147,255.42 "
5914,TX,Metairie,"$237,152.36 "
13234,LA,Pearland,"$280,561.88 "
33252,TX,Orange,"$741,386.37 "
397180,CA,Kalamazoo,"$158,740.47 "
24174,CA,Compton,"$455,122.71 "
23394,CA,Abilene,"$136,250.37 "
17321,TX,Carrollton,"$327,864.76 "
44506,TX,Cedar Rapids,"$153,475.96 "
37427,CA,Billings,"$269,868.42 "
7858,CO,West Palm Beach,"$261,276.12 "
4351,FL,Denton,"$268,604.42 "
17571,TX,Coral Springs,"$350,303.11 "
48293,FL,Waco,"$146,173.94 "
47847,TX,Sterling Heights,"$225,794.89 "
6103,CA,Murrieta,"$494,655.13 "
4810,CA,Frederick,"$326,529.43 "
46666,CA,Myrtle Beach,"$198,473.25 "
7386,OH,Temecula,"$540,875.23 "
398007,CA,Flint,"$28,372.50 "
19307,LA,Melbourne,"$256,155.12 "
6155,FL,New Haven,"$193,240.57 "
26900,NC,Saint Augustine,"$289,764.33 "
40760,FL,Santa Fe,"$400,238.62 "
11865,CA,Hemet,"$300,271.16 "
34278,CA,Thousand Oaks,"$780,482.91 "
13713,CA,Santa Clara,"$1,206,256.57 "
31388,CA,Elizabeth,"$313,268.23 "
33024,NJ,Nampa,"$299,328.51 "
50962,CA,Bend,"$475,704.88 "
14667,OR,Wilmington,"$223,379.45 "
23534,IL,Athens,"$196,869.57 "
33136,TX,Norman,"$179,416.63 "
